epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.228,0.855,2.74413,1.0189,1,0.79186,0.99215,0.75301,0.79173,2.69132,0.85439,0.0003,0.0003,0.0003
2,324.291,0.81499,1.50885,0.93427,1,0.16969,0.995,0.73127,0.61473,2.99068,0.82333,0.000607724,0.000607724,0.000607724
3,477.077,0.7823,1.20626,0.92836,1,0.27111,0.74905,0.63864,0.6341,3.15146,0.87633,0.000902776,0.000902776,0.000902776
4,625.548,0.82323,1.13525,0.9673,0.80028,0.81966,0.89426,0.73751,0.65127,2.40884,0.88731,0.00118516,0.00118516,0.00118516
5,775.356,0.79833,1.11219,0.97587,0.99328,0.97727,0.99456,0.83936,0.63407,1.83784,0.8709,0.00145486,0.00145486,0.00145486
6,928.797,0.87517,1.01477,1.00738,0.95529,0.97119,0.98404,0.81484,0.71672,1.50363,0.89746,0.0017119,0.0017119,0.0017119
7,1089.21,0.84064,0.99709,1.00732,0.97684,0.97727,0.98228,0.86861,0.6126,1.17321,0.89558,0.0017624,0.0017624,0.0017624
8,1232.4,0.7786,0.92028,0.98875,0.99636,0.97727,0.99413,0.86692,0.63025,0.95609,0.87292,0.0017228,0.0017228,0.0017228
9,1376.37,0.77068,0.83697,0.97823,1,0.99897,0.995,0.87868,0.57666,0.84783,0.88877,0.0016832,0.0016832,0.0016832
10,1524.41,0.75229,0.77913,0.95893,0.99691,0.97727,0.9926,0.86361,0.5665,0.81078,0.86727,0.0016436,0.0016436,0.0016436
11,1672.62,0.80939,0.80064,0.97142,1,0.99732,0.995,0.90048,0.4908,0.69847,0.82888,0.001604,0.001604,0.001604
12,1821.45,0.78111,0.75297,0.98385,1,0.99979,0.995,0.82933,0.76536,0.73332,0.93328,0.0015644,0.0015644,0.0015644
13,1969.09,0.70953,0.68017,0.9328,0.99823,1,0.995,0.89088,0.56866,0.6493,0.85422,0.0015248,0.0015248,0.0015248
14,2131.98,0.73764,0.65104,0.95296,0.99867,1,0.995,0.86202,0.60358,0.60862,0.86304,0.0014852,0.0014852,0.0014852
15,2274.34,0.71189,0.63932,0.9517,0.99832,1,0.995,0.87365,0.56488,0.57469,0.86103,0.0014456,0.0014456,0.0014456
16,2412.46,0.72668,0.61283,0.97186,0.9999,1,0.995,0.8692,0.56452,0.58832,0.8536,0.001406,0.001406,0.001406
17,2546.98,0.67866,0.59499,0.94464,0.99853,1,0.995,0.87353,0.56469,0.53181,0.86502,0.0013664,0.0013664,0.0013664
18,2676.98,0.7235,0.59224,0.94541,0.99874,1,0.995,0.88428,0.54364,0.49248,0.86315,0.0013268,0.0013268,0.0013268
19,2817.3,0.72353,0.56279,0.96885,1,0.99303,0.995,0.85683,0.63622,0.54939,0.87552,0.0012872,0.0012872,0.0012872
20,2961.58,0.7006,0.54828,0.95061,1,0.99822,0.995,0.88799,0.53063,0.4885,0.82992,0.0012476,0.0012476,0.0012476
21,3109.5,0.70391,0.53733,0.94461,0.97772,0.99755,0.97289,0.87886,0.46626,0.46503,0.8141,0.001208,0.001208,0.001208
22,3255.61,0.67963,0.50347,0.94275,0.9982,1,0.995,0.88661,0.54948,0.43839,0.84242,0.0011684,0.0011684,0.0011684
23,3406.02,0.66816,0.50491,0.92195,0.99837,1,0.995,0.88239,0.56009,0.48863,0.84428,0.0011288,0.0011288,0.0011288
24,3566.64,0.65847,0.51039,0.93781,0.99878,1,0.995,0.88709,0.53874,0.41845,0.85125,0.0010892,0.0010892,0.0010892
25,3704.22,0.65082,0.47708,0.93139,0.99842,1,0.995,0.87606,0.54773,0.397,0.84019,0.0010496,0.0010496,0.0010496
26,3848.45,0.65173,0.47884,0.93281,0.99887,1,0.995,0.90787,0.54016,0.37367,0.8589,0.00101,0.00101,0.00101
27,3997.92,0.64916,0.46496,0.91701,0.999,1,0.995,0.87918,0.55022,0.35353,0.84109,0.0009704,0.0009704,0.0009704
28,4148.17,0.63492,0.45663,0.91222,0.99909,1,0.995,0.8855,0.52408,0.38419,0.83448,0.0009308,0.0009308,0.0009308
29,4293.83,0.6105,0.44732,0.90582,0.99974,1,0.995,0.88315,0.54508,0.35853,0.8555,0.0008912,0.0008912,0.0008912
30,4443.78,0.62082,0.44724,0.92098,1,0.99916,0.995,0.8811,0.56602,0.36131,0.85329,0.0008516,0.0008516,0.0008516
31,4607.29,0.62747,0.42705,0.90543,0.9999,1,0.995,0.89692,0.50315,0.34646,0.82601,0.000812,0.000812,0.000812
32,4748.72,0.60825,0.41921,0.90447,0.99836,1,0.995,0.88246,0.52415,0.37782,0.84503,0.0007724,0.0007724,0.0007724
33,4885.52,0.61775,0.42509,0.90077,0.99941,1,0.995,0.89282,0.48768,0.34848,0.83323,0.0007328,0.0007328,0.0007328
34,5019.78,0.61823,0.41113,0.90608,0.99916,1,0.995,0.90885,0.4455,0.31265,0.82022,0.0006932,0.0006932,0.0006932
35,5147.8,0.57892,0.40825,0.89351,0.99916,1,0.995,0.89316,0.51128,0.33149,0.83567,0.0006536,0.0006536,0.0006536
36,5287.28,0.58935,0.39536,0.90247,0.99891,1,0.995,0.9001,0.50754,0.32624,0.83662,0.000614,0.000614,0.000614
37,5431.71,0.59252,0.40166,0.91029,0.99903,1,0.995,0.89302,0.53122,0.33638,0.8476,0.0005744,0.0005744,0.0005744
38,5577.81,0.58708,0.4009,0.91457,0.99927,1,0.995,0.91116,0.49069,0.30354,0.84801,0.0005348,0.0005348,0.0005348
39,5722.83,0.54594,0.38334,0.87746,0.9991,1,0.995,0.88712,0.496,0.29352,0.83705,0.0004952,0.0004952,0.0004952
40,5872.61,0.57006,0.37825,0.88651,0.99891,1,0.995,0.92137,0.46128,0.29204,0.8324,0.0004556,0.0004556,0.0004556
41,6033.89,0.53889,0.38593,0.90982,0.99888,1,0.995,0.90555,0.49579,0.32967,0.83598,0.000416,0.000416,0.000416
42,6172.44,0.52406,0.37282,0.89621,0.99878,1,0.995,0.91441,0.47548,0.2867,0.83545,0.0003764,0.0003764,0.0003764
43,6307.26,0.54316,0.37278,0.95195,0.9989,1,0.995,0.91965,0.44012,0.29113,0.81151,0.0003368,0.0003368,0.0003368
44,6439.92,0.5046,0.35079,0.86162,0.99883,1,0.995,0.92022,0.44165,0.27898,0.81231,0.0002972,0.0002972,0.0002972
45,6566.05,0.51678,0.35355,0.87749,0.99878,1,0.995,0.91728,0.47655,0.27823,0.82238,0.0002576,0.0002576,0.0002576
46,6710.11,0.49057,0.33996,0.87613,0.99882,1,0.995,0.90821,0.46804,0.27282,0.82671,0.000218,0.000218,0.000218
47,6860.83,0.48927,0.32997,0.89847,0.9988,1,0.995,0.92577,0.47221,0.2694,0.83102,0.0001784,0.0001784,0.0001784
48,7024.78,0.49233,0.33229,0.9101,0.99879,1,0.995,0.91635,0.46587,0.26138,0.8307,0.0001388,0.0001388,0.0001388
49,7174.42,0.47779,0.31879,0.86911,0.99879,1,0.995,0.9186,0.468,0.26475,0.83383,9.92e-05,9.92e-05,9.92e-05
50,7396.36,0.4684,0.32113,0.88577,0.99877,1,0.995,0.92102,0.46501,0.2696,0.83048,5.96e-05,5.96e-05,5.96e-05
